date|bullish_index|bearish_index|bull_bear_difference|no_bull_tweets|no_bear_tweets
2012-11-25|1.676105|1.662857|0.013248|95|42
2012-11-26|1.689041|1.653855|0.035187|459|275
2012-11-27|1.680514|1.772874|-0.09236|350|247
2012-11-28|1.677905|1.640496|0.037409|401|262
2012-11-29|1.675326|1.801914|-0.126588|383|256
2012-11-30|1.659239|1.718918|-0.059679|289|231
2012-12-01|1.599318|1.758056|-0.158737|44|36
2012-12-02|1.598|1.443929|0.154071|55|28
2012-12-03|1.698927|1.706736|-0.007808|289|193
2012-12-04|1.605729|1.681533|-0.075804|391|300
2012-12-05|1.580988|1.783722|-0.202734|840|798
2012-12-06|1.636214|1.833544|-0.19733|700|474
2012-12-07|1.64886|1.878186|-0.229326|535|452
2012-12-08|1.49125|2.101111|-0.609861|64|63
2012-12-09|1.488101|1.80625|-0.318149|79|48
2012-12-10|1.558881|1.810206|-0.251325|420|340
2012-12-11|1.661935|1.645322|0.016614|496|342
2012-12-12|1.588937|1.657563|-0.068626|348|238
2012-12-13|1.60216|1.753423|-0.151263|426|336
2012-12-14|1.51443|1.78784|-0.273409|772|648
2012-12-15|1.556343|1.40975|0.146593|134|80
2012-12-16|1.604025|1.624535|-0.02051|241|172
2012-12-17|1.669084|1.601667|0.067418|819|444
2012-12-18|1.74672|1.67914|0.06758|439|221
2012-12-19|1.600365|1.68313|-0.082765|329|246
2012-12-20|1.555147|1.856714|-0.301568|375|350
2012-12-21|1.655|1.877835|-0.222835|362|254
2012-12-22|1.604909|1.656596|-0.051687|55|47
2012-12-23|1.640649|1.695217|-0.054568|77|46
2012-12-24|1.706|1.918471|-0.212471|125|85
2012-12-25|1.903846|1.955238|-0.051392|39|21
2012-12-26|1.461038|1.679102|-0.218064|212|167
2012-12-27|1.640647|1.651471|-0.010824|402|272
2012-12-28|1.704042|1.736129|-0.032087|240|155
2012-12-29|1.676837|1.932174|-0.255337|98|46
2012-12-30|1.761143|1.688095|0.073048|70|42
2012-12-31|1.704289|1.662678|0.041611|443|239
2013-01-01|1.765042|1.872083|-0.107041|119|72
2013-01-02|1.715814|1.651822|0.063992|516|247
2013-01-03|1.645987|1.635357|0.01063|304|168
2013-01-04|1.601946|1.755777|-0.153831|483|386
2013-01-05|1.5182|1.644074|-0.125874|100|54
2013-01-06|1.605532|2.0448|-0.439268|94|50
2013-01-07|1.615928|1.767674|-0.151746|415|288
2013-01-08|1.706862|1.65662|0.050242|325|213
2013-01-09|1.679346|1.843032|-0.163686|428|310
2013-01-10|1.632308|1.702108|-0.0698|494|370
2013-01-11|1.618801|1.751361|-0.13256|267|191
2013-01-12|1.870833|1.646923|0.22391|60|39
2013-01-13|1.452344|1.864906|-0.412562|128|106
2013-01-14|1.633142|1.749914|-0.116772|767|580
2013-01-15|1.540319|1.716535|-0.176217|816|635
2013-01-16|1.635634|1.510237|0.125397|623|379
2013-01-17|1.688753|1.611429|0.077324|441|301
2013-01-18|1.628713|1.647593|-0.01888|443|241
2013-01-19|1.624957|1.655694|-0.030737|117|72
2013-01-20|1.67272|1.507547|0.165173|125|53
2013-01-21|1.750769|1.668904|0.081865|117|73
2013-01-22|1.690835|1.731014|-0.040179|503|217
2013-01-23|1.698482|1.813876|-0.115394|1252|823
2013-01-24|1.671441|1.767703|-0.096262|895|688
2013-01-25|1.614541|1.772201|-0.157659|687|518
2013-01-26|1.629626|1.683585|-0.053959|107|53
2013-01-27|1.553182|1.69|-0.136818|110|74
2013-01-28|1.568333|1.649524|-0.08119|402|210
2013-01-29|1.659558|1.539692|0.119866|317|195
2013-01-30|1.585108|1.740878|-0.15577|325|205
2013-01-31|1.667949|1.656483|0.011466|195|145
2013-02-01|1.637557|1.807083|-0.169526|348|240
2013-02-02|1.66175|2.085556|-0.423806|40|18
2013-02-03|1.63413|1.298077|0.336054|46|26
2013-02-04|1.547824|1.657614|-0.10979|262|197
2013-02-05|1.627881|1.695479|-0.067598|387|219
2013-02-06|1.659905|1.786019|-0.126114|420|314
2013-02-07|1.686972|1.723731|-0.036759|535|268
2013-02-08|1.755182|1.747321|0.007861|357|224
2013-02-09|1.730833|1.63|0.100833|48|9
2013-02-10|1.722653|2.051|-0.328347|49|20
2013-02-11|1.619599|1.686167|-0.066568|299|180
2013-02-12|1.549267|1.81117|-0.261904|491|393
2013-02-13|1.662616|1.85|-0.187384|302|200
2013-02-14|1.683715|1.687643|-0.003928|288|157
2013-02-15|1.588443|1.801705|-0.213261|212|176
2013-02-16|1.6025|1.64|-0.0375|24|19
2013-02-17|1.661714|1.490313|0.171402|35|32
2013-02-18|1.593673|1.584419|0.009255|49|43
2013-02-19|1.630254|1.791622|-0.161368|276|185
2013-02-20|1.590714|1.922988|-0.332273|322|241
2013-02-21|1.616623|1.789018|-0.172395|305|224
